"","Availability","region","year","policy","agg.land","value","global_value"
"1","0 percent","Africa_Eastern",2050,"CORE","Biomass",27.6507546765568,68.2712080930634
"2","0 percent","Africa_Northern",2050,"CORE","Biomass",435.766599775574,68.2712080930634
"3","0 percent","Africa_Southern",2050,"CORE","Biomass",57.3699523494567,68.2712080930634
"4","0 percent","Africa_Western",2050,"CORE","Biomass",-2.5930510110642,68.2712080930634
"5","0 percent","Argentina",2050,"CORE","Biomass",287.156687495748,68.2712080930634
"6","0 percent","Australia_NZ",2050,"CORE","Biomass",221.719055842148,68.2712080930634
"7","0 percent","Brazil",2050,"CORE","Biomass",126.803515462819,68.2712080930634
"8","0 percent","Canada",2050,"CORE","Biomass",-7.12478386014487,68.2712080930634
"9","0 percent","Central America and Caribbean",2050,"CORE","Biomass",311.366818260494,68.2712080930634
"10","0 percent","Central Asia",2050,"CORE","Biomass",340.839641630148,68.2712080930634
"11","0 percent","China",2050,"CORE","Biomass",281.495186508504,68.2712080930634
"12","0 percent","Colombia",2050,"CORE","Biomass",-16.2817142528141,68.2712080930634
"13","0 percent","EU-12",2050,"CORE","Biomass",51.4299872664191,68.2712080930634
"14","0 percent","EU-15",2050,"CORE","Biomass",-4.46861300117237,68.2712080930634
"15","0 percent","Europe_Eastern",2050,"CORE","Biomass",183.486745920424,68.2712080930634
"16","0 percent","Europe_Non_EU",2050,"CORE","Biomass",134.248042281756,68.2712080930634
"17","0 percent","European Free Trade Association",2050,"CORE","Biomass",-48.9992224400032,68.2712080930634
"18","0 percent","India",2050,"CORE","Biomass",132.328689137314,68.2712080930634
"19","0 percent","Indonesia",2050,"CORE","Biomass",360.366320930802,68.2712080930634
"20","0 percent","Japan",2050,"CORE","Biomass",-57.5940256520978,68.2712080930634
"21","0 percent","Mexico",2050,"CORE","Biomass",280.722420445023,68.2712080930634
"22","0 percent","Middle East",2050,"CORE","Biomass",604.650337754208,68.2712080930634
"23","0 percent","Pakistan",2050,"CORE","Biomass",187.793039843772,68.2712080930634
"24","0 percent","Russia",2050,"CORE","Biomass",102.360655531754,68.2712080930634
"25","0 percent","South Africa",2050,"CORE","Biomass",207.7408614966,68.2712080930634
"26","0 percent","South America_Northern",2050,"CORE","Biomass",69.4689103325612,68.2712080930634
"27","0 percent","South America_Southern",2050,"CORE","Biomass",183.672075342405,68.2712080930634
"28","0 percent","South Asia",2050,"CORE","Biomass",307.097535245493,68.2712080930634
